#{"t_start": 1760363941.1958025, "env_id": "LunarLander-v3"}
r,l,t
-171.716025,85,100.23452
-229.158152,77,100.315355
-284.380711,104,100.424421
-122.115486,97,100.521181
-69.291521,84,100.603555
-194.575719,137,100.737553
-179.554458,98,100.840276
-89.461406,111,100.961182
-108.002592,104,101.065061
-233.876372,130,101.212342
-130.094662,126,101.344544
-87.28706,75,101.425462
-78.918915,67,101.497985
-145.734849,110,101.619171
-116.585222,142,101.768107
-138.793941,66,101.845116
-135.169852,122,101.976052
-292.515948,123,102.120071
-145.980617,108,102.313196
-515.940019,102,102.481658
-315.219924,99,102.633568
-158.599139,116,102.80371
-224.806935,84,102.929185
-211.67036,87,103.061463
-135.526897,79,103.195405
-85.399698,86,103.326763
-125.959122,149,103.553886
-84.323676,71,103.667298
-168.807058,128,103.878046
-189.43984,95,104.030551
-235.935014,79,104.155964
-112.392926,82,104.306816
-219.806006,82,104.442715
-342.992499,98,104.603101
-195.623032,111,104.719901
-246.847493,98,104.829395
-146.797736,111,104.948746
-130.850304,92,105.043876
-204.406486,118,105.171836
-174.188632,135,105.33267
-125.593491,92,105.428879
-93.72444,62,105.496782
-222.372822,72,105.572552
-108.874636,97,105.682379
-135.742856,67,105.751248
-112.851212,92,105.851684
-59.404605,109,105.961623
-140.514833,129,106.093001
-57.678294,77,106.172433
-58.776419,121,106.301037
-174.57501,89,106.409787
1.141033,65,106.481874
-95.117377,78,106.564615
-149.851346,107,106.674922
-78.795712,128,106.819978
-104.49458,86,106.921269
-177.957565,133,107.068271
-209.518824,114,107.199213
-203.992585,76,107.283107
-78.583082,112,107.420668
-146.009817,69,107.491412
-271.746905,97,107.590044
-168.512769,85,107.678118
-249.064709,117,107.797199
-154.052474,80,107.880875
26.011551,92,107.978036
-231.421404,101,108.085639
-112.834234,72,108.168378
-99.279872,94,108.269281
-211.110302,80,108.35713
-199.530276,78,108.453668
-93.062999,77,108.537402
-99.112079,124,108.665533
-114.645232,72,108.735685
-117.536764,119,108.860905
-19.517456,72,108.93833
-90.622508,79,109.021663
-137.357695,108,109.132538
-127.646731,101,109.237739
-163.42343,91,109.339619
-98.943212,104,109.449717
-143.688497,123,109.589897
-143.399612,67,109.655193
-242.278978,84,109.746251
-99.851206,80,109.834934
-11.489546,104,109.945207
-125.049952,76,110.025542
-110.058149,1000,110.54585
-92.762128,1000,110.990961
-115.023215,1000,111.44024
-111.333591,1000,111.904242
-86.319798,1000,112.357068
-222.168915,105,112.486729
-6.142027,108,112.629675
-146.9548,92,112.722571
-182.255341,102,112.824428
-34.279692,68,112.904591
-142.223207,94,112.997663
-87.663186,85,113.084714
-53.321321,64,113.157336
-312.805458,90,113.254828
-153.447882,119,113.383814
-44.665626,71,113.459593
-158.049261,114,113.58375
-339.346598,155,113.771369
-130.682239,88,113.867979
-242.524528,103,113.97367
-154.25125,92,114.074454
-82.889619,74,114.159658
-40.093914,73,114.238671
-210.586004,105,114.353703
-274.202158,96,114.452413
-106.498236,89,114.552511
45.853076,101,114.713285
-95.85808,81,114.859787
-143.978957,73,114.972427
-123.144864,119,115.157988
-115.235399,125,115.344548
-108.524662,79,115.462138
-150.087476,116,115.638747
-89.341889,77,115.768131
-140.777753,91,115.913105
-300.050839,115,116.069638
-243.595176,71,116.183931
-118.356982,92,116.34603
-103.089046,73,116.461525
-90.029209,96,116.617549
-134.52737,105,116.798527
-137.33573,114,117.02591
-143.282288,111,117.149822
-98.243552,95,117.250441
-396.37685,100,117.354809
-101.941984,60,117.419376
-116.395697,97,117.51589
-97.166473,107,117.63675
-171.732989,76,117.714388
-118.549443,99,117.822048
-141.2654,105,117.948723
-252.340589,124,118.076568
-349.821038,86,118.174524
-101.185373,84,118.266692
-119.080254,119,118.394163
-249.197047,83,118.481321
-128.836718,102,118.588909
-67.983967,70,118.670766
-118.045309,117,118.793302
-95.955686,82,118.879987
-90.312632,73,118.965035
-104.269462,70,119.053462
-85.556426,76,119.131346
11.264362,87,119.217193
-9.151192,97,119.31956
-342.410897,89,119.416129
-165.665663,118,119.538882
-70.173679,68,119.688959
-111.426654,59,119.920361
-200.807214,120,120.067972
-88.191593,68,120.135875
-132.013721,65,120.201343
-108.37182,97,120.299278
-187.619445,118,120.430579
-190.102201,77,120.731774
-136.46108,107,120.842469
-177.546036,82,120.926486
-200.654461,91,121.026431
-57.210206,93,121.138618
-80.445819,80,121.222428
-115.648423,86,121.318397
-164.765656,120,121.454892
-104.37896,81,121.542786
-0.47559,89,121.634922
-64.473046,119,121.75667
